Name,Release date,Manufacturer,Units sold,CPU,"""Bits"""
Sony PlayStation,"December 3, 1994",Sony (Japan),102.49 million,R3000 @ 33.8688 MHz,32-bit
PC-FX,"December 23, 1994",NEC (Japan),"ca. 400,000",NEC V810,32-bit
Apple Bandai Pippin,"March 28, 1995",Bandai (Japan)/Apple Inc. (U.S.),"ca. 42,000",PowerPC 603 RISC (66 MHz),32-bit
Atari Jaguar CD,"September 21, 1995",Atari Corporation (U.S.),?,?,64-bit (uses Jaguar processors)
Casio Loopy,"October 19, 1995",Casio (Japan),?,RISC SH-1 (SH7021),32-bit
Nintendo 64,"June 23, 1996",Nintendo (Japan),32.93 million,NEC VR4300 @ 93.75 MHz,64-bit
Nintendo 64DD,"December 1, 1999",Nintendo (Japan),"ca. 15,000",?,32-bit co-processor (uses 64-bit N64 processor as main processor)
Dreamcast,"November 27, 1998",Sega (Japan),9.13 million,Hitachi SH-4 32-bit RISC @ 200 MHz,"128-bit (32-bit processor, 128-bit graphics)"
Nuon,2000,VM Labs (U.S.),"ca. 25,000",Nuon MPE hybrid stack processor,128-bit (SIMD)
PlayStation 2,"March 4, 2000",Sony (Japan),155 million,"Emotion Engine @ 294.912 MHz (launch), 299 MHz (newer models)",128-bit (SIMD)
Nintendo GameCube,"November 14, 2001",Nintendo (Japan),21.74 million,IBM PowerPC Gekko @ 486 MHz,"32-bit (CPU)
128-bit (SIMD)"
Xbox,"November 15, 2001",Microsoft (U.S.),ca. 24 million,"Custom 733 MHz Intel Pentium III ""Coppermine-based"" processor","32-bit (CPU)
128-bit (SIMD)"
DVD Kids,2002,3-Plus (Iceland),?,?,?
Xavix PORT,2004,SSD COMPANY LIMITED (Japan),?,?,"8-bit,16-bit and 32-bit (depending on game cartridge)"
V.Smile,"August 4, 2004",VTech (Hong Kong),?,Sunplus SPG2xx,16-bit
Advanced Pico Beena,2005,Sega (Japan),ca. 4.1 million,ARM7TDMI clocked at 81 MHz,32-bit (CPU)
V.Smile Baby Infant Development System,2006,VTech (Hong Kong),?,?,128-bit
Game Wave Family Entertainment System,October 2005,ZAPiT (Canada),"ca. 70,000",Mediamatics 8611,
Xbox 360,"November 22, 2005",Microsoft (U.S.),ca. 85.8 million,Big-endian architecture 3.2 GHz PowerPC Tri-Core Xenon,"64-bit CPU
128-bit extensions"
V.Flash,September 2006,VTech (Hong Kong),?,ARM-9,32-bit
HyperScan,"October 23, 2006",Mattel (U.S.),"ca. 10,000",Sunplus SPG290,32-bit
PlayStation 3,"November 11, 2006",Sony (Japan),86.9 million,3.2 GHz Cell Broadband Engine with 1 PPE & 7 SPEs,64-bit CPU with set of 128-bit registers
Wii,"November 19, 2006",Nintendo (Japan),"101.63 million(as of December 31, 2016)","PowerPC 750-based IBM PowerPC ""Broadway"" @ 729 MHz; 2.9 GFLOPS",32-bit (CPU)
EVO Smart Console,"November 20, 2008",Envizions (U..S.),At least 10,AMD 64x2 @ 2.9 GHz,64-bit (CPU)
Zeebo,"May 25, 2009",Zeebo Inc. (U.S.) / TecToy (Brazil),?,ARM11 / QDSP-5 in Qualcomm MSM SoC running at 528 MHz,32-bit (CPU)
CT510,"April 29, 2012",eedoo,?,Unknown dual core at 1.8 GHz,
Wii U,"November 18, 2012",Nintendo (Japan),13.56 million,"PowerPC 750-based 1.24 GHz Tri-Core IBM PowerPC ""Espresso""",32-bit (CPU)
PlayStation 4,"November 15, 2013",Sony (Japan),115.9 million,Semi-custom 8-core AMD x86-64 Jaguar 1.6 GHz CPU (integrated into APU),64-bit (CPU)
Xbox One,"November 22, 2013",Microsoft (U.S.),ca. 41 million,Custom 1.75 GHz AMD 8-core APU (2 quad-core Jaguar modules),64-bit (CPU)
Nintendo Switch,"March 3, 2017",Nintendo (Japan),107.65 million,Octa-core (4×ARM Cortex-A57 & 4×ARM Cortex-A53) @ 1.020 GHz,64-bit (CPU)
Xbox Series X/S,"November 10, 2020",Microsoft (U.S.),ca. 8 million,"Custom 8-core AMD Zen 2;Series X: 3.8 GHz, 3.6 GHz with SMTSeries S: 3.6 GHz, 3.4 GHz with SMT",64-bit (CPU)
PlayStation 5,"November 12, 2020",Sony (Japan),13.4 million,"Custom 8-core AMD Zen 2, variable frequency, up to 3.5 GHz",64-bit (CPU)
Polymega,"September 12, 2021","Playmaji, Inc (U.S.)",?,Unknown Intel Coffee Lake,64-bit (CPU)
Evercade VS,"December, 2021",Blaze Entertainment (UK),?,Unknown ARM Cortex-A7 4-core at 1.5 GHz,32-bit (CPU)
